Product Name,Category,Flavour,Weight,Price,Benefits,Image
Diabetic Tea,Diabetic Tea,Herbal,100gm,5,Blood sugar support,https://raw.githubusercontent.com/healthinfotalk-sys/elegant-leaf/main/WhatsApp Image 2026-05-07 at 4.07.55 PM (1).jpeg
PCOD/PCOS Tea,PCOD/PCOS Tea,Herbal,100gm,599,Hormonal wellness,https://raw.githubusercontent.com/healthinfotalk-sys/elegant-leaf/main/WhatsApp Image 2026-05-07 at 4.07.55 PM.jpeg
Fatloss Tea,Fatloss Tea,Herbal,100gm,549,Weight management,https://raw.githubusercontent.com/healthinfotalk-sys/elegant-leaf/main/WhatsApp Image 2026-05-07 at 4.07.56 PM (1).jpeg
Long Life Tea,Long Life Tea,Herbal,100gm,649,Longevity & wellness,https://raw.githubusercontent.com/healthinfotalk-sys/elegant-leaf/main/WhatsApp Image 2026-05-07 at 4.07.56 PM (2).jpeg
Metabolic Booster Tea,Fatloss Tea,Herbal,100gm,599,Metabolism boost,https://raw.githubusercontent.com/healthinfotalk-sys/elegant-leaf/main/WhatsApp Image 2026-05-07 at 4.07.56 PM.jpeg
Anti Aging Tea,Anti Aging Tea,Herbal,100gm,699,Healthy aging support,https://raw.githubusercontent.com/healthinfotalk-sys/elegant-leaf/main/WhatsApp Image 2026-05-07 at 4.07.57 PM (1).jpeg
Sound Sleep Tea,Sound Sleep Tea,Herbal,100gm,649,Sleep & relaxation,https://raw.githubusercontent.com/healthinfotalk-sys/elegant-leaf/main/WhatsApp Image 2026-05-07 at 4.07.57 PM (2).jpeg
Detox & Slimming Tea,Detox & Slimming Tea,Herbal,100gm,549,Detox & slimming,https://raw.githubusercontent.com/healthinfotalk-sys/elegant-leaf/main/WhatsApp Image 2026-05-07 at 4.07.57 PM (3).jpeg
Nettle Leaf Tea,Wellness Tea,Herbal,100gm,749,Kidney & immunity support,https://raw.githubusercontent.com/healthinfotalk-sys/elegant-leaf/main/WhatsApp Image 2026-05-07 at 4.07.57 PM.jpeg
Gut Care Powder,Wellness Powder,Herbal,100gm,799,Gut health support,https://raw.githubusercontent.com/healthinfotalk-sys/elegant-leaf/main/WhatsApp Image 2026-05-07 at 4.07.58 PM.jpeg
